"ID","User","Manufacturer","Batch No","Product","Status","Device Token","Device Name","Reason","Description"
"8885335","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Printing Issues","-"
"8885338","Zfold","-","-","-","Not Scannable","cb807220dd92354f","Galaxy Z Fold5","QR Tampered","Twar"
"8885339","Zfold","-","-","-","Not Scannable","cb807220dd92354f","Galaxy Z Fold5","Printing Issues","Jjji"
"8885346","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Physical Damage","-"
"8885347","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Physical Damage","-"
"8885348","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Physical Damage","-"
"8885370","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885371","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885372","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885373","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885374","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885375","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885376","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
